Posted date,Star rating,Review text,Source,Fetched at (UTC)
2-Feb-26,1,"They will deliver to the wrong address and accept no responsibility
I was notified by email 2 days after my package was supposedly delivered and it wasn’t. When I checked the tracking, it showed that it was delivered to an unknown address in a different city. When I tried to file a claim, they told me that the claim had to be filed by the sender. I tried contacting the sender, but heard nothing back. So now I’m stuck. UPS accepted no responsibility for their negligence even though they clearly showed it was delivered to a different address. I’m very disappointed. I knew they were a bad company before, but this is ridiculous.",Trustpilot – UPS (www.ups.com),
6-Feb-26,1,"They are absolute garbage
They are absolute garbage! They made me wait for a package for about a month and ke ppl t delaying it and delaying it, saying they are 10 stops away and after 6 houtlrs i calk and theu says that nkw its 9 stops away, they are the worst company to trust with packages, absolute garbage",Trustpilot – UPS (www.ups.com),
4-Feb-26,1,"Very very poor service, incompetent drivers, and Lacey one month to deliver one letter to a development. The driver do not find the place is excuse Bay.",Trustpilot – UPS (www.ups.com),
6-Feb-26,1,"The only delivery company that operates in the UK that thinks that a town of almost 10k people and less than an hour from Newcastle and Edinburgh is a “remote area “ , say they will deliver something on a set date right up until 4 pm then say they will deliver it sometime in the future not on any specific date maybe tomorrow maybe 3 days or maybe not at all.",Trustpilot – UPS (www.ups.com),
6-Feb-26,1,"In circles
I watch the driver on the app drive around in circles all day. Drives on same streets multiple times. Useless logistics. They should hire me. I would save them a ton of time and money. USPS is better by far",Trustpilot – UPS (www.ups.com),
6-Jul-25,1,"I wish I could post with a ZERO star!! They are a ""trash"" company!! I'm glad they are struggling to stay afloat!! I have ""lack-Listed them from ""EVER"" delivering to me from ""ANY STORES"" I shop at!! In 2025 (am not too sure of the ""exact date"") summer time, there was a driver delivering to my neighbor & then to me on our ""private drive."" I have a Fruit tree that the branches hang over my fence. My neighbor & I were talking when she stopped and delivered my package, my telling her, the only reason I will permit you to deliver to this door is that I am out here to take it to the entrance (back door) where ""any/all"" deliveries go to. She was so nasty in her spirit, and when she got onto the truck, she turned the wheels into my fruit tree branches & smashed into them leaving some leaf's in the wiper blade, and my chain-link fence was ""very close to being hit!!"" And then she turned and gave an EVIL grin!! This is why I will ""NEVER"" have UPS deliver to me again!!",Trustpilot – UPS (www.ups.com),
5-Feb-26,1,Said I was not home for delivery then took 18 hours to drop off my pack to the ups pick up point across the street from my house,Trustpilot – UPS (www.ups.com),
6-Feb-26,1,"The Unnecessary UPS Struggle
I will not speak to specific employees because each interaction that I have had with a human face-to-face has been pleasant...

I ordered some stuff online back in December. It was supposed to be delivered by the first week in January. I requested that it be held at one of the UPS ""Access Points"" since 1) it needed a signature and 2) I do not work at home. After paying the $5.99 fee to change the delivery location, the app said for MULTIPLE days that it would be delivered to that Access Point and on each day, the app updated to say that the store was closed. Each time, I would call the store and verify that they were and had been opened. The package ended up ""damaged"" and was sent back to the sender.

The package was resent and expedited since the sender knew that I had BEEN expecting it. I received a delivery window of 1:30 - 3:30 PM. There were no updates whatsoever...at 1:06 PM I get a notification from my doorbell/camera and see the UPS delivery person standing at my door ringing the doorbell. Moments later, another notification stating that they are unable to deliver the package...

UPS's system is extremely ineffective, dishonest, flawed, and manipulative. When I spoke to an agent about paying money to have the package rerouted, she would not agree to refund the money paid for services that were not followed through on. If I could avoid UPS, I would. Their customer service is all over the place and everyone seems to have either no idea or a different idea of what is going on with their company. They can't seem to deliver packages within the appropriate delivery window so that their customers don't have to go through the hassle of stressing about their items...just a horribly ran company through and through.

Note: the ""date of experience"" states today, however, this has been an ongoing battle since the first week of January....",Trustpilot – UPS (www.ups.com),
5-Feb-26,1,"UPS has been the worst courier experience I’ve had. I booked a pickup for a 7-package shipment in the Chicago area on January 5, 2026. Over the last five weeks, I have scheduled a pickup five times, and no driver has picked up the packages.

Each time, UPS updates the system saying the driver was “unable to pick up,” even though no one came. The pickup location is on a main road and easily accessible, not a remote area. It honestly feels like the pickup is being avoided because there are seven boxes.

I called customer service around 10 times. Every time I was told the issue was “escalated,” but nothing changed. If UPS cannot handle multi-box pickups, they should not allow customers to schedule them online.

Extremely unprofessional and no accountability.",Trustpilot – UPS (www.ups.com),
9-Dec-25,2,"Terrible service. Didn't deliver my package, claiming my house was a closed business. I was home all day. They must have delivered it to the wrong address. Completely unreliable.",Trustpilot – UPS (www.ups.com),
